287,RandomPlayer,260623737,0,RandomPlayer,38,game00287.log,
288,260623737,RandomPlayer,1,RandomPlayer,15,game00288.log,
289,RandomPlayer,260623737,1,260623737,24,game00289.log,
290,260623737,RandomPlayer,1,RandomPlayer,34,game00290.log,
291,RandomPlayer,260623737,1,260623737,33,game00291.log,
292,260623737,RandomPlayer,1,RandomPlayer,29,game00292.log,
293,RandomPlayer,260623737,1,260623737,42,game00293.log,
294,260623737,RandomPlayer,1,RandomPlayer,32,game00294.log,
295,RandomPlayer,260623737,1,260623737,40,game00295.log,
296,260623737,RandomPlayer,0,260623737,30,game00296.log,
297,RandomPlayer,260623737,1,260623737,28,game00297.log,
298,260623737,RandomPlayer,0,260623737,40,game00298.log,
299,RandomPlayer,260623737,0,RandomPlayer,37,game00299.log,
300,260623737,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,33,game00300.log,
301,RandomPlayer,260623737,0,RandomPlayer,34,game00301.log,
302,260623737,RandomPlayer,0,260623737,25,game00302.log,
303,RandomPlayer,260623737,0,RandomPlayer,28,game00303.log,
304,260623737,RandomPlayer,0,260623737,37,game00304.log,
305,RandomPlayer,260623737,1,260623737,42,game00305.log,
306,260623737,RandomPlayer,1,RandomPlayer,28,game00306.log,
307,RandomPlayer,260623737,1,260623737,34,game00307.log,
308,260623737,RandomPlayer,1,RandomPlayer,41,game00308.log,
309,RandomPlayer,260623737,0,RandomPlayer,29,game00309.log,
310,260623737,RandomPlayer,1,RandomPlayer,37,game00310.log,
311,RandomPlayer,260623737,0,RandomPlayer,36,game00311.log,
312,260623737,RandomPlayer,0,260623737,36,game00312.log,
313,RandomPlayer,260623737,0,RandomPlayer,33,game00313.log,
314,260623737,RandomPlayer,0,260623737,33,game00314.log,
315,RandomPlayer,260623737,0,RandomPlayer,41,game00315.log,
316,260623737,RandomPlayer,1,RandomPlayer,31,game00316.log,
317,RandomPlayer,260623737,1,260623737,34,game00317.log,
318,260623737,RandomPlayer,1,RandomPlayer,31,game00318.log,
319,RandomPlayer,260623737,0,RandomPlayer,29,game00319.log,
320,260623737,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,27,game00320.log,
321,RandomPlayer,260623737,0,RandomPlayer,27,game00321.log,
322,260623737,RandomPlayer,0,260623737,35,game00322.log,
